tykk/72/www_vorumaateataja_ee.tykk:
<doc id="277476" length="1k-10k" crawl_date="2013-01-10" url="http://www.vorumaateataja.ee/index.php/ee/kuulutused/63-viimased-uudised/6106-voru-kohtumaja-moistis-kohut-ule-eestilise-kelmide-grupi-ule" web_domain="www.vorumaateataja.ee" langdiff="0.28" texttype="periodicals"> 
<gap/>
<p heading="1"> 
Reklaam    reklaam+0||S sg n||
</p>
<p heading="0"> 
KOHTUASI    Kohtuas+0||H sg g||    Kohtuasi+0||H sg g|| %kohtu_asi+0||S sg n||
•    •+0||Y ?||
Võru    Võru+0||H sg g||
kohtumajas    kohtu_maja+s||S sg in||
kuulutas    kuuluta+s||V s||
kohtunik    kohtunik+0||S sg n||
Roomet    Roomet+0||H sg n||
Sõnna    Sõnna+0||H sg n||
14.    14.+0||O ?||
detsembril    detsember+l||S sg ad||
välja    välja+0||D||
otsuse    otsus+0||S sg g||
üle    üle+0||K||
Eesti    Eesti+0||H sg g||
tegutsenud    tegutse+nud||V nud||    tegutse=nud+0||A||+    tegutse=nud+0||A sg n||    tegutse=nud+d||A pl n||
kelmide    kelm+de||S pl g||
grupi    grupp+0||S sg g||
osas    osas+0||K||
,    ,+||Z||
kellest    kes+st||P pl el||+    kes+st||P sg el||
pooled    pool+d||S pl n|| %pool+d||N pl n||
läksid    mine+sid||V sid||
karistust    karistus+t||S sg p||
kandma    kand+ma||V ma||
vanglasse    vangla+sse||S sg ill||
.    .+||Z||
</p>
<p heading="0"> 
Otsuse    otsus+0||S sg g||
kuulutamise    kuulutamine+0||S sg g||
päeval    päev+l||S sg ad||
oli    ole+i||V s||
kohtumaja    kohtu_maja+0||S sg g||
suur    suur+0||A sg n||
esimese    esimene+0||O sg g||
korruse    korrus+0||S sg g||
saal    saal+0||S sg n||
kohtualuseid    kohtu_alune+id||A pl p|| %kohtu_alune+id||S pl p||
sõna    sõna+0||S sg p|| %sõna+0||S sg g||
otseses    otsene+s||A sg in||
mõttes    mõte+s||S sg in||
täis    täis+0||A||
,    ,+||Z||
nii    nii+0||D||
et    et+0||J||
lisaks    lisa+ks||S sg tr||
külalisi    külaline+i||S pl p||
poleks    ole+ks||V neg ks||
saali    saal+0||S sg p|| %saal+0||S adt||
mahtunudki    mahtu+nudki||V nud||
.    .+||Z||
Koos    koos+0||K||
politseinikega    politseinik+ega||S pl kom||
oli    ole+i||V s||
saalis    saal+s||S sg in||
ligi    ligi+0||D||
30    30+0||N ?||
inimest    inimene+t||S sg p||
.    .+||Z||
Kohtualuseid    kohtu_alune+id||S pl p||
lasti    lask+ti||V ti||
saali    saal+0||S adt||
jupikaupa    jupi_kaupa+0||D||
,    ,+||Z||
osa    osa+0||S sg n||
neist    see+st||P pl el||
oli    ole+i||V s||
vanglariietes    vangla_riie+tes||S pl in||
ja    ja+0||J||
käed    käsi+d||S pl n||
raudus    raudus+0||D||
.    .+||Z||
Otsuse    otsus+0||S sg g||
kuulamise    kuulamine+0||S sg g||
ajal    ajal+0||K||
tegid    tege+id||V sid||
karjakaupa    karja_kaupa+0||D||
kohtusse    kohus+sse||S sg ill||
aetud    aetud+0||A||+    aetud+0||A sg n||    aetud+d||A pl n||    aja+tud||V tud||
süüalused    süü_alune+d||S pl n||
omavahel    oma_vahel+0||D||
nalja    nali+0||S sg p||
ja    ja+0||J||
mõned    mõni+d||P pl n||
neist    tema+st||P pl el||
ei    ei+0||V neg||
suvatsenud    suvatse+nud||V nud||+    suvatse=nud+0||A||    suvatse=nud+0||A sg n||    suvatse=nud+d||A pl n||
kohtuniku    kohtunik+0||S sg g||
sisenemise    sisenemine+0||S sg g||
ajal    ajal+0||K||
püstigi    püsti+0gi||D||
tõusta    tõus+ta||V da||
.    .+||Z||
</p>
<p heading="0"> 
Algselt    algselt+0||D||
oli    ole+i||V s||
kahtlustus    kahtlustus+0||S sg n||
esitatud    esita+tud||V tud||+    esitatud+0||A||    esitatud+0||A sg n||    esitatud+d||A pl n||
35    35+0||N ?||
isikule    isik+le||S sg all||
,    ,+||Z||
kellest    kes+st||P pl el||+    kes+st||P sg el||
viie    viis+0||N sg g||
osas    osas+0||K||
eraldati    eralda+ti||V ti||
materjalid    materjal+d||S pl n||
iseseisvasse    ise_seisev+sse||A sg ill||
menetlusse    menetlus+se||S adt||
